id,url,nombre,precio,precio_por,marca,categoria,imagen
prod960035,https://www.carrefour.es/supermercado/harina-de-maiz-carrefour-sin-gluten-500-g/R-prod960035/p,Harina de maíz Carrefour sin gluten 500 g.,1.92,3.84 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/049575_00_1.jpg
522713657,https://www.carrefour.es/supermercado/harina-de-maiz-fina-maizena-sin-gluten-700-g/R-522713657/p,Harina de maíz fina Maizena sin gluten 700 g.,4.79,6.84 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/002052_00_1.jpg
728807127,https://www.carrefour.es/supermercado/harina-de-trigo-integral-gallo-nature-1-kg/R-728807127/p,Harina de trigo integral Gallo Nature 1 kg.,1.94,1.94 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/673965_00_1.jpg
651402442,https://www.carrefour.es/supermercado/preparado-para-pan-schar-sin-gluten-y-sin-lactosa-1-kg/R-651402442/p,Preparado para pan Schär sin gluten y sin lactosa 1 kg.,5.49,5.49 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/814918_00_1.jpg
521005411,https://www.carrefour.es/supermercado/harina-fritos-y-rebozados-gallo-1-kg/R-521005411/p,Harina fritos y rebozados Gallo 1 kg.,1.66,1.66 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/020752_00_1.jpg
VC4AECOMM-034771,https://www.carrefour.es/supermercado/harina-especial-para-fritos-y-rebozados-original-carrefour-1-kg/R-VC4AECOMM-034771/p,Harina especial para fritos y rebozados Original Carrefour 1 kg.,1.4,1.40 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/034771_00_1.jpg
VC4AECOMM-105000,https://www.carrefour.es/supermercado/harina-integral-de-centeno-ecologica-carrefour-bio-1-kg/R-VC4AECOMM-105000/p,Harina integral de centeno ecológica Carrefour Bio 1 kg.,2.45,2.45 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/105000_00_1.jpg
VC4AECOMM-104887,https://www.carrefour.es/supermercado/harina-integral-de-espelta-ecologica-carrefour-bio-1-kg/R-VC4AECOMM-104887/p,Harina integral de espelta ecológica Carrefour Bio 1 kg.,3.39,3.39 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/104887_00_1.jpg
800055834,https://www.carrefour.es/supermercado/polenta-instantanea-dona-petrona-500-g/R-800055834/p,Polenta instantánea Doña Petrona 500 g.,2.35,4.70 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/779024_00_1.jpg
590206003,https://www.carrefour.es/supermercado/harina-de-trigo-sarraceno-ecologica-ecocesta-500-g/R-590206003/p,Harina de trigo sarraceno ecológica Ecocesta 500 g.,4.65,9.30 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/185319_00_1.jpg
prod1160911,https://www.carrefour.es/supermercado/harina-de-trigo-espelta-integral-gallo-nature-1-kg/R-prod1160911/p,Harina de trigo espelta integral Gallo Nature 1 kg.,2.75,2.75 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/208991_00_1.jpg
VC4AECOMM-024548,https://www.carrefour.es/supermercado/harina-integral-de-centeno-carrefour-extra-1-kg/R-VC4AECOMM-024548/p,Harina integral de centeno Carrefour Extra 1 kg.,2.49,2.49 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/024548_00_1.jpg
VC4AECOMM-426622,https://www.carrefour.es/supermercado/harina-de-coco-ecologica-amandin-400-g/R-VC4AECOMM-426622/p,Harina de coco ecológica Amandin 400 g.,2.75,6.87 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/426622_00_1.jpg
prod221422,https://www.carrefour.es/supermercado/harina-especial-para-rebozar-sin-huevo-original-carrefour-1-kg/R-prod221422/p,Harina especial para rebozar sin huevo Original Carrefour 1 kg.,1.78,1.78 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/034617_00_1.jpg
651402444,https://www.carrefour.es/supermercado/harina-para-reposteria-schar-sin-gluten-1-kg/R-651402444/p,Harina  para repostería Schär sin gluten 1 kg.,5.69,5.69 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/814919_00_1.jpg
prod460415,https://www.carrefour.es/supermercado/harina-de-trigo-sarraceno-fina-ecologica-sarchio-sin-gluten-500-g/R-prod460415/p,Harina de trigo sarraceno fina ecológica Sarchio sin gluten 500 g.,5.69,11.38 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/826883_00_1.jpg
fprod1280503,https://www.carrefour.es/supermercado/harina-para-pan-rustico-carrefour-1-kg/R-fprod1280503/p,Harina para pan rústico Carrefour 1 kg.,2.79,2.79 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/330864_00_1.jpg
VC4AECOMM-305785,https://www.carrefour.es/supermercado/harina-preparada-para-tempura-de-verduras-carnes-y-pescados-santa-rita-500-g/R-VC4AECOMM-305785/p,"Harina preparada para tempura de verduras, carnes y pescados Santa Rita 500 g.",3.29,6.58 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/305785_00_1.jpg
prod272809,https://www.carrefour.es/supermercado/levadura-deshidratada-dr-schar-sin-gluten-pack-de-2-unidades-de-10-g/R-prod272809/p,Levadura deshidratada Dr. Schär sin gluten pack de 2 unidades de 10 g.,0.99,49.50 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/815211_00_1.jpg
590205989,https://www.carrefour.es/supermercado/harina-de-garbanzos-ecologica-ecocesta-500-g/R-590205989/p,Harina de garbanzos ecológica Ecocesta 500 g.,4.59,9.18 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/185283_00_1.jpg
VC4AECOMM-510782,https://www.carrefour.es/supermercado/harina-de-maiz-fina-ecologica-maizena-sin-gluten-200-g/R-VC4AECOMM-510782/p,Harina de maíz fina ecológica Maizena sin gluten 200 g.,2.75,13.75 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/510782_00_1.jpg
VC4AECOMM-181325,https://www.carrefour.es/supermercado/polenta-express-polenta-valsugana-sin-gluten-375-g/R-VC4AECOMM-181325/p,Polenta express Polenta Valsugana sin gluten 375 g.,2.79,7.44 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/181325_00_1.jpg
VC4AECOMM-305787,https://www.carrefour.es/supermercado/harina-preparada-para-fritura-de-pescados-santa-rita-500-g/R-VC4AECOMM-305787/p,Harina preparada para fritura de pescados Santa Rita 500 g.,2.95,5.90 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/305787_00_1.jpg
590205973,https://www.carrefour.es/supermercado/harina-de-arroz-integral-ecologica-ecocesta-500-g/R-590205973/p,Harina de arroz integral ecológica Ecocesta 500 g.,4.09,8.18 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/185248_00_1.jpg
590209519,https://www.carrefour.es/supermercado/extracto-de-levadura-marmite-125-g/R-590209519/p,Extracto de levadura Marmite 125 g.,7.89,63.12 €/kg,,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/261220_00_1.jpg
VC4AECOMM-034420,https://www.carrefour.es/supermercado/harina-de-trigo-de-fuerza-original-carrefour-1-kg/R-VC4AECOMM-034420/p,Harina de trigo de fuerza Original Carrefour 1 kg.,1.15,1.15 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/034420_00_1.jpg
